gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
P2RX1	-1.02101103911968	8.16628727834665	-5.1399678006456	0.000274662030269374	0.0234738185766712	0.70499911546914
KLHL14	1.07187498019754	5.90200538803766	5.13855352973249	0.000275289848005142	0.0234738185766712	0.7028068362961
MDFIC	1.15647369719672	6.43265265567731	5.09147089314035	0.000297077878075068	0.0241196796924049	0.62964671092531
CD1C	1.10255787359515	6.5544735597183	5.08005314104155	0.000302630537221039	0.0243047408987013	0.611853474313034
CPT1B	-1.17287207040044	6.94725879443157	-5.01217487964385	0.000337978060908422	0.0253095327638381	0.505659752997399
ZNF679	1.04691288989886	7.93223593429004	4.93922317216089	0.000380856646476702	0.0259540652821087	0.3907454611048
DUSP1	-1.13942440027436	11.3662890709845	-4.93785752182506	0.000381711868716387	0.0259540652821087	0.388586592789813
PARP12	-1.10063200617601	9.49425353319702	-4.89465903131394	0.000409833366327193	0.0267919516459398	0.320152143484293
X69637	-1.13301769657051	6.75688450449904	-4.84230286915335	0.000446862224059226	0.0276800444220725	0.236836274987725
MORC3	1.30169191295349	6.64510928319541	4.82564995382043	0.000459363758352336	0.0280109543332649	0.210250722952988
CD19	1.3338730818495	8.58595477558995	4.78010623438485	0.000495465467092646	0.0286002279780614	0.137333856063664
ERAP2	1.00560333796829	10.5103346869956	4.69831908753078	0.000567970175041666	0.0310459632377239	0.0056315467372352
STAT2	-1.07203829036343	11.3023744719136	-4.64040248895027	0.000625985481452098	0.0324659459609003	-0.0882124440780689
STAP1	1.01124391697897	7.59595729616773	4.61513038331281	0.000653215493652933	0.0325527425180226	-0.12931022919508
TYMP	-1.00595248250837	9.01683529576962	-4.48142868309448	0.000819407875389764	0.0342223113766153	-0.348207594039834
SAMD9L	-1.00141951887485	9.40774997883394	-4.46911015252413	0.000836799276645561	0.0342223113766153	-0.368497637425139
VPREB3	1.27624072938133	7.73088308085251	4.43201821102	0.000891532392595268	0.0353628143063972	-0.429713968348535
FCRL5	1.15903543816278	7.09192358480722	4.33227680711107	0.00105804958892327	0.0378077922120844	-0.595214038643768
BBS10	1.01472656218898	6.02365494395467	4.33186895550313	0.00105879343884782	0.0378077922120844	-0.595893386664257
AK024852	-1.08693916897283	6.96814362580476	-4.25231588109842	0.00121483234011141	0.0401470794877456	-0.728796870980894
GABBR1	-1.31774359499856	7.67521452183511	-4.14594133204759	0.00146174640547326	0.044263757955902	-0.907693656173683
