"Covid-19"	"SD"	"HS"	"AD"	"EP"	"PD"	"IS"	"Imm"
"CA11"	"PCLAF"	"NOS1"	"PTPRD-AS2"				
"LPAL2"	"ALDOC"	"PLEK"	"LOC339685"				
"RIPOR3"	"MEN1"	"LOC100128531"	"SNAP25"				
"VEGFD"	"CIDEB"	"ANKS4B"	"CCKBR"				
"TSHZ2"	"RNF185"	"ARNTL2"	"PLPP2"				
"ENSG00000279662"	"CMTM5"	"SLC7A14"	"CDK18"				
"INMT"	"LINC00328"	"AKIP1"	"MDH1"				
"ANXA1"	"TSHZ3"	"CYP27C1"	"COL5A2"				
"HTATSF1"	"LOC105376486"	"FKBP8"	"MAMDC4"				
"ENSG00000279573"	"TRIM26"	"RAD23B"	"FAM81A"				
"ENSG00000278601"	"COPS6"	"ORC6"	"OLAH"				
"STX1B"	"ZNF394"	"FBXO45"	"SLC12A1"				
"PCDHA12"	"RBM22"	"FAM200B"	"ABCA6"				
"RN7SKP80"	"TBC1D10B"	"NUP43"	"ENC1"				
"ABCC11"	"CNPPD1"	"SMAD5"	"AMIGO2"				
"RPL7AP16"	"RAB43"	"BMP8A"	"ELN"				
"NPAS2"	"ORAI3"	"HEXIM1"	"EGFR-AS1"				
"FAM169B"	"MPST"	"DNAJB12"	"BMP3"				
"SNORD89"	"ELF4"	"S1PR2"	"CA3-AS1"				
"GATM"	"CCDC159"	"ZNF542"	"MAN2A1"				
"CYP4F3"	"SIRPB1"	"ZNF69"	"PPP1R2P3"				
"GLRX"	"EFNA4"	"KIAA1467"	"TRPA1"				
"SEC14L2"	"XNDC1N"	"EXOSC6"	"CLDN34"				
"RASSF9"	"CDC42EP2"	"DNAJC22"	"SMIM5"				
"CS"	"MXRA7"	"MTRNR2L1"	"C9orf139"				
"GGA2"	"RCOR3"	"VSTM4"	"INHBA-AS1"				
"CYP7B1"	"GMDS-DT"	"ADAM17"	"F3"				
"EEF1A1P11"	"LYSMD2"	"SBF2-AS1"	"MIR5690"				
"SNORA37"	"UTP4"	"DUSP19"	"CD244"				
"FAM110D"	"CYB561D2"	"PCDH11Y"	"GZMM"				
"NEK11"	"RTL8C"	"NUDT19"	"MDGA1"				
"STEAP1"	"LOC100505874"	"DTD2"	"LINC01257"				
"RPS6KA5"	"H3C10"	"BHMT2"	"CLEC18A"				
"OXA1L"	"KLHDC3"	"TMEM241"	"DLX6-AS1"				
"SERPINA5"	"CAPG"	"CALCOCO2"	"OLFM4"				
"MGST1"	"TBC1D20"	"AMPD2"	"LOC101929754"				
"BAG1"	"RELA"	"FTH1P3"	"NPY2R"				
"RSPH1"	"HEXIM2"	"EIF4H"	"MIR3619"				
"ENSG00000279500"	"LOC105377458"	"GNPNAT1"	"RAD21L1"				
"CAVIN1"	"ESF1"	"RPS6KA6"	"MIR1250"				
"PTGR1"	"LOC100190986"	"FOXRED2"	"SELE"				
"LRG1"	"PFAS"	"PCDHA9"	"PRSS35"				
"H2BC20P"	"TRAF3IP3"	"ICA1L"	"SFTPA1"				
"FAM184A"	"SHISA5"	"S100A8"	"LOC100505912"				
"GPAM"	"RNASEH2A"	"DNAJB6"	"LINC01336"				
"RIBC1"	"H2AC8"	"DSCR6"	"TGFBR3L"				
"C1orf198"	"LINC02754"	"IL10RB"	"LOC339529"				
"DESI1"	"ND2"	"THBD"	"LOC101927043"				
"HMGN5"	"VPS26B"	"SLC25A15"	"ANO3"				
"SLC17A9"	"CLK4"	"IGFBPL1"	"PRKCG"				
"LINC02362"	"ANKRD20A12P"	"LRIF1"	"LOC101929151"				
"TMOD3"	"LILRA3"	"KATNBL1"	"LINC01107"				
"EFR3B"	"TOX2"	"ZNF566"	"SGCA"				
"ADIRF"	"TTI2"	"ATP8B1"	"ABCA8"				
"HS3ST3B1"	"LRRC75A"	"C1orf86"	"SNORA104"				
"CRYZL2P-SEC16B"	"USP30"	"LRRFIP1"	"FAAHP1"				
"SLC27A5"	"ZNF831"	"LOC284023"	"RAB3A"				
"GOLT1A"	"MIR3682"	"CCDC113"	"LOC100506136"				
"P3H2"	"RMDN3"	"PDIA3"	"SNX10"				
"CLXN"	"TAGLN2"	"SKAP2"	"NGFR"				
"SURF6"	"PRDX6"	"BCL2L15"	"CCR6"				
"CCDC170"	"ACTR3BP2"	"CTSS"	"SYT10"				
"METTL17"	"NDUFB1"	"FLNA"	"DHH"				
"NECAB1"	"SNIP1"	"IGBP1"	"ANKRD40"				
"ITM2A"	"PPP5D1P"	"LINC00663"	"MIR340"				
"WDR72"	"DENND4A"	"DBT"	"C11orf87"				
"LINC01018"	"TRIM35"	"AKIRIN1"	"SMTN"				
"ABCC3"	"C9orf64"	"IL1B"	"MND1"				
"DNAH10"	"RASEF"	"PLEKHO2"	"IL33"				
"TMPRSS6"	"CCDC18-AS1"	"VAMP3"	"LRRC46"				
"UNC5CL"	"ZC3H12A"	"RAD1"	"LGALS2"				
"GNMT"	"TUBA3D"	"TNFAIP6"	"DOCK5"				
"SLC25A15"	"ACKR4"	"TNIP1"	"PRR34-AS1"				
"ENSG00000261338"	"LGALS3BP"	"COX7B"	"CXCR2"				
"ENSG00000260310"	"TSPAN33"	"TMF1"	"DLX6"				
"ANKRD29"	"TIPARP"	"HIST2H2AC"	"PART1"				
"SLC25A18"	"DDX41"	"HNRNPL"	"LOC101927139"				
"ZNF440"	"SULF2"	"CHP2"	"THRSP"				
"GOT1"	"HLA-DRB4"	"PSME3"	"SNORD114-21"				
"CES3"	"S1PR1-DT"	"PUM2"	"CLCA4"				
"ZCWPW2"	"NOP58"	"LOC400891"	"CLMN"				
"IL17RB"	"ALG8"	"MRI1"	"ADORA2A"				
"MGAT3"	"PPIG"	"GP2"	"CHRNA7"				
"RN7SL4P"	"LOC389834"	"GPLD1"	"TCP11"				
"MAGI3"	"STARD10"	"MTRNR2L6"	"HILS1"				
"CPA3"	"TIMM8A"	"GRM6"	"BGLAP"				
"CRACDL"	"TUBB4B"	"CD177"	"BOK-AS1"				
"C2orf50"	"TRA2A"	"AKAP5"	"GADD45A"				
"C11orf24"	"CDK4"	"SHISA2"	"OVCH2"				
"AQP7P1"	"SLC25A11"	"SYNGR2"	"RDH12"				
"ENTPD5"	"F8"	"BAG6"	"SH2D3A"				
"SLC35D1"	"TUSC2"	"SLC35E2"	"LOC100506274"				
"MOCOS"	"PELI3"	"ELL"	"IRX2"				
"ENSG00000276980"	"MCUR1"	"TNFAIP8L3"	"GMNC"				
"SNORD3A"	"SUV39H1"	"NUP98"	"MUC3A"				
"KCND3-IT1"	"MIPEPP3"	"DKFZP434L187"	"KCNV1"				
"DRC3"	"LOC101927018"	"TRIM59"	"MIR2467"				
"HIC2"	"PIP5K1C"	"ABHD2"	"LMNTD2"				
"GPIHBP1"	"COX3"	"OR51E2"	"FAM21EP"				
"SAC3D1"	"MAP3K1"	"C3orf33"	"SALRNA2"				
"PPP1R9A"	"RUNDC3A"	"ATP6V0C"	"FOXD2"				
"SYT12"	"IP6K2"	"ATP6AP2"	"C11orf94"				
"PSAT1"	"SIGLEC5"	"SF3B2"	"LINC00323"				
"PTPN14"	"TMEM164"	"TMEM192"	"BMP7-AS1"				
"PC"	"CARM1"	"PTGS2"	"PRTN3"				
"BMS1P10"	"FRG1BP"	"TUBA3FP"	"GABRG2"				
"DNAI4"	"FHL3"	"PRKX"	"SLC16A6"				
"ABCC2"	"MALAT1"	"INADL"	"LOC108783645"				
"LRRC23"	"MED8"	"DBNL"	"FOXD1"				
"OAF"	"PRAF2"	"IL10"	"SPDEF"				
"DGAT2"	"GBGT1"	"ITIH5"	"LINC00484"				
"IER2"	"TIMP1"	"FTH1"	"SLC30A3"				
"IRX3"	"HEY1"	"TPM4"	"PIK3C2G"				
"SMYD3-IT1"	"FKSG49"	"PPP1R15B"	"LOC101928766"				
"ENSG00000280042"	"GFI1B"	"BRAT1"	"CPAMD8"				
"SLC9B2"	"MLLT11"	"LINC00598"	"NLRP14"				
"TMEM45A"	"ZSCAN22"	"PARK2"	"LINC01476"				
"CFAP43"	"CIZ1"	"RNF13"	"RND1"				
"ENSG00000227200"	"XKR8"	"ZNF260"	"FMO3"				
"ENSG00000279878"	"NKIRAS2"	"TPTE2P1"	"LOC100288866"				
"INSIG1"	"CHAMP1"	"C14orf2"	"LOC101927406"				
"ADRB1"	"TMEM141"	"LOC284551"	"TP73"				
"MST1P2"	"MGLL"	"DUSP6"	"LINC01119"				
"MLXIPL"	"GNAZ"	"ZNF681"	"C1QL3"				
"SUGCT"	"GOLGA6L2"	"LPIN3"	"FIBCD1"				
"ABLIM3"	"NEK2-DT"	"IL1RAP"	"CLDN9"				
"TRIM71"	"UCP2"	"C9orf85"	"LOC105377448"				
"LINC01252"	"DHRS7B"	"TMEM181"	"UHRF1"				
"H2BC19P"	"TMEM9B"	"TMEM19"	"LINC01296"				
"MASP1"	"WASHC5"	"STX4"	"ROR1-AS1"				
"ENSG00000261270"	"ARFIP2"	"LOC151475"	"TSG1"				
"IRAK2"	"LOC100505915"	"HCAR2"	"GRP"				
"MT-RNR1"	"SSNA1"	"TTC39C"	"NEFL"				
"RPS16"	"OS9"	"KDM6A"	"FFAR4"				
"TTC39C"	"LOC654780"	"CD82"	"CHGB"				
"PSTPIP2"	"ZBED5-AS1"	"CEBPD"	"HPN-AS1"				
"TMIGD3"	"VAT1"	"KIF3A"	"FERMT1"				
"SLC25A13"	"KLF3"	"LINC00665"	"NEK2"				
"TMEM45B"	"PTDSS1"	"ARHGAP15"	"LOC101929473"				
"EID1"	"KAT5"	"EIF4A1"	"ANLN"				
"LGALS4"	"ZNF793"	"ATP1B2"	"GSN-AS1"				
"LRP4"	"XRCC2"	"XRCC6"	"HPN"				
"TMEM176B"	"PNISR"	"MAPK14"	"FHL5"				
"H4C4"	"BAP1"	"DCUN1D2"	"CACNG1"				
"RAB11FIP4"	"MAP2K2"	"LOC100130954"	"FAM86B3P"				
"UBTD1"	"PRMT5"	"RNF40"	"TMEM215"				
"FAU"	"TMEM41B"	"NFKB2"	"MIR1914"				
"IFT140"	"TCTA"	"FAM157B"	"LOC149684"				
"DCAF8"	"PLEK"	"HCAR3"	"VGLL3"				
"VSIG2"	"ADRM1"	"CST7"	"SOX8"				
"NEURL3"	"MICALL1"	"AXL"	"ZNF90"				
"ASS1"	"DUSP23"	"CARD16"	"TMC6"				
"TOGARAM2"	"MZT2B"	"PTAFR"	"HIPK2"				
"SOD2"	"SLC48A1"	"METTL2B"	"LINC00567"				
"NRSN2-AS1"	"ALOX12"	"NFE2L2"	"MAGI1-AS1"				
"LYZ"	"LRRC69"	"FGL2"	"TINAG"				
"SLC43A3"	"TMEM179B"	"SF3A1"	"LOC100505635"				
"ENSG00000093100"	"SYNGR3"	"SNW1"	"NSF"				
"TRIM31"	"ZNF213"	"SWSAP1"	"LOC101927410"				
"ARMC12"	"BIK"	"ENTPD3-AS1"	"LOC100507616"				
"NKD1"	"MEIS1"	"CNEP1R1"	"C10orf128"				
"BCAM"	"IL32"	"GLUL"	"DKFZP434K028"				
"ENSG00000241886"	"TMEM185B"	"DNASE1"	"SLC26A5"				
"TMEM220-AS1"	"PTGS1"	"SURF4"	"INHA"				
"ENSG00000268573"	"SH3GLB2"	"C19orf35"	"ALG1L"				
"RPS3"	"DEDD2"	"LOH12CR2"	"KRT19"				
